block,index,ax_raw,ay_raw,az_raw
1,688,8197,-158,-592
1,689,8189,-145,-607
1,690,8197,-143,-598
1,691,8194,-137,-591
1,692,8181,-141,-589
1,693,8184,-151,-604
1,694,8182,-151,-605
1,695,8182,-161,-603
1,696,8179,-170,-587
1,697,8170,-164,-591
1,698,8183,-171,-582
1,699,8177,-160,-595
1,700,8188,-170,-605
1,701,8167,-155,-608
1,702,8185,-153,-618
1,703,8183,-170,-608
1,704,8177,-168,-593
1,705,8168,-161,-596
1,706,8174,-158,-605
1,707,8180,-149,-598
1,708,8179,-161,-591
1,709,8184,-138,-598
1,710,8191,-145,-604
1,711,8203,-142,-608
1,712,8199,-143,-591
1,713,8187,-147,-606
1,714,8178,-142,-594
1,715,8182,-151,-594
1,716,8180,-156,-606
1,717,8191,-155,-592
1,718,8188,-155,-595
1,719,8191,-157,-584
1,720,8191,-158,-575
1,721,8195,-163,-588
1,722,8201,-155,-621
1,723,8208,-144,-615
1,724,8192,-134,-609
1,725,8190,-138,-589
1,726,8190,-138,-594
1,727,8191,-141,-598
1,728,8189,-139,-604
1,729,8187,-140,-604
1,730,8182,-146,-613
1,731,8195,-157,-610
1,732,8190,-160,-628
1,733,8193,-152,-611
1,734,8198,-139,-601
1,735,8195,-141,-598
1,736,8180,-146,-589
1,737,8185,-161,-608
1,738,8193,-165,-624
1,739,8199,-164,-602
1,740,8196,-153,-607
1,741,8195,-162,-595
1,742,8193,-175,-590
1,743,8189,-166,-587
1,744,8186,-165,-603
1,745,8193,-168,-601
1,746,8200,-171,-596
1,747,8200,-163,-584
1,748,8185,-161,-602
1,749,8182,-158,-596
1,750,8181,-151,-602
1,751,8173,-141,-607
1,752,8171,-137,-615
1,753,8176,-136,-616
1,754,8176,-136,-600
1,755,8187,-135,-599
1,756,8202,-139,-585
1,757,8197,-148,-609
1,758,8198,-157,-630
1,759,8194,-149,-631
1,760,8191,-163,-611
1,761,8190,-151,-599
1,762,8194,-147,-586
1,763,8192,-153,-589
1,764,8186,-161,-590
1,765,8184,-165,-588
1,766,8187,-166,-578
1,767,8192,-158,-585
1,768,8185,-160,-607
1,769,8193,-161,-607
1,770,8197,-170,-605
1,771,8195,-164,-607
1,772,8180,-170,-601
1,773,8180,-179,-605
1,774,8177,-184,-597
1,775,8190,-176,-591
1,776,8191,-165,-581
1,777,8191,-152,-585
1,778,8188,-146,-588
1,779,8188,-147,-606
1,780,8190,-157,-614
1,781,8186,-151,-601
1,782,8184,-167,-615
1,783,8188,-163,-622
1,784,8182,-163,-623
1,785,8186,-172,-615
1,786,8184,-181,-606
1,787,8192,-182,-612
1,788,8197,-168,-635
1,789,8178,-169,-642
1,790,8180,-160,-628
1,791,8182,-148,-620
1,792,8186,-149,-603
1,793,8197,-149,-598
1,794,8207,-146,-584
1,795,8193,-139,-591
1,796,8175,-141,-598
1,797,8178,-149,-592
1,798,8185,-157,-597
1,799,8181,-157,-599
1,800,8182,-158,-618
1,801,8175,-157,-607
1,802,8196,-149,-577
1,803,8206,-153,-581
1,804,8203,-157,-588
1,805,8196,-160,-589
1,806,8190,-163,-608
1,807,8195,-166,-616
1,808,8210,-164,-606
1,809,8201,-149,-627
1,810,8201,-154,-635
1,811,8208,-162,-628
1,812,8200,-174,-630
1,813,8195,-170,-636
1,814,8196,-158,-623
1,815,8195,-164,-620
1,816,8198,-155,-610
1,817,8196,-139,-618
1,818,8187,-140,-617
1,819,8191,-143,-611
1,820,8195,-144,-618
1,821,8178,-143,-616
1,822,8183,-131,-624
1,823,8183,-147,-598
1,824,8195,-145,-593
1,825,8200,-154,-580
1,826,8200,-146,-606
1,827,8200,-142,-595
1,828,8195,-147,-612
1,829,8196,-149,-597
1,830,8195,-148,-605
1,831,8192,-158,-591
1,832,8189,-159,-579
1,833,8202,-156,-586
1,834,8204,-156,-597
1,835,8215,-154,-588
1,836,8209,-152,-591
1,837,8202,-155,-583
1,838,8195,-163,-574
1,839,8186,-155,-583
1,840,8189,-151,-585
1,841,8190,-157,-605
1,842,8174,-146,-599
1,843,8191,-171,-591
1,844,8187,-155,-571
1,845,8189,-154,-578
1,846,8179,-160,-594
1,847,8184,-171,-596
1,848,8192,-173,-610
1,849,8197,-176,-599
1,850,8196,-164,-600
1,851,8202,-163,-608
1,852,8190,-172,-605
1,853,8201,-152,-593
1,854,8193,-151,-605
1,855,8192,-163,-613
